Group,Attack Method,K,PSNR (dB),SSIM,LPIPS,Avg L0,Avg L2,Avg L_inf,Avg Iterations
Group A,IPFSA,128.0,44.86,0.972,,255.22,0.5417,0.0442,3.42
Group A,GradientGuidance,1.0,55.82,0.9982,,11.72,0.1413,0.0467,20.26
Group A,GradientGuidance,2.0,54.07,0.9971,,18.72,0.1776,0.0522,18.44
Group A,GradientGuidance,4.0,52.22,0.9953,,29.62,0.2232,0.058,15.28
Group A,GradientGuidance,8.0,50.91,0.9933,,43.38,0.2638,0.0593,11.32
Group A,GradientGuidance,16.0,50.19,0.9916,,58.64,0.2892,0.0556,7.17
Group A,GradientGuidance,32.0,49.37,0.9899,,80.16,0.3151,0.0482,4.33
Group A,GradientGuidance,64.0,48.27,0.9876,,116.87,0.3523,0.038,2.77
Group A,GradientGuidance,128.0,46.8,0.9836,,180.82,0.4144,0.0298,1.96
Group A,CPA,1.0,55.13,0.9977,,13.49,0.1482,0.0467,20.69
Group A,CPA,2.0,52.91,0.996,,24.24,0.1974,0.0525,19.45
Group A,CPA,4.0,51.08,0.9933,,41.46,0.2532,0.0571,17.48
Group A,CPA,8.0,49.65,0.99,,65.21,0.3096,0.0594,14.38
Group A,CPA,16.0,48.47,0.9859,,94.55,0.3638,0.0593,10.71
Group A,CPA,32.0,47.5,0.9826,,125.5,0.4074,0.0563,7.08
Group A,CPA,64.0,46.34,0.9783,,173.74,0.4608,0.0502,4.83
Group A,CPA,128.0,44.83,0.9719,,253.5,0.5418,0.0439,3.43
Group A,FCSA,1.0,54.97,0.9977,,13.49,0.1508,0.0474,20.64
Group A,FCSA,2.0,52.74,0.9959,,23.93,0.2024,0.0553,19.19
Group A,FCSA,4.0,50.86,0.9932,,41.69,0.2619,0.0605,17.07
Group A,FCSA,8.0,49.47,0.9897,,64.18,0.319,0.0633,13.92
Group A,FCSA,16.0,48.43,0.986,,91.32,0.3684,0.0627,10.22
Group A,FCSA,32.0,47.51,0.9827,,123.02,0.41,0.0583,6.92
Group A,FCSA,64.0,46.37,0.9788,,171.59,0.4602,0.0504,4.68
Group A,FCSA,128.0,44.93,0.9732,,251.07,0.5358,0.0437,3.33
Group A,FMSA-budgeted,1.0,55.43,0.9981,,13.86,0.1431,0.0441,22.81
Group A,FMSA-budgeted,2.0,53.09,0.9965,,24.77,0.1914,0.0497,22.78
Group A,FMSA-budgeted,4.0,50.13,0.9932,,46.36,0.27,0.0605,22.71
Group A,FMSA-budgeted,8.0,47.35,0.9873,,84.99,0.3769,0.07,22.71
Group A,FMSA-budgeted,16.0,44.49,0.9759,,152.92,0.5353,0.0848,22.55
Group A,FMSA-budgeted,32.0,42.05,0.9584,,252.4,0.7274,0.0958,21.38
Group A,FMSA-budgeted,64.0,40.26,0.9365,,366.31,0.9275,0.101,17.63
Group A,FMSA-budgeted,128.0,39.7,0.926,,449.08,1.0188,0.0944,11.17
Group A,HSA-budgeted,1.0,55.12,0.9977,,13.23,0.1487,0.047,20.67
Group A,HSA-budgeted,2.0,53.0,0.996,,23.88,0.1956,0.0526,19.51
Group A,HSA-budgeted,4.0,51.21,0.9936,,41.29,0.2483,0.0556,17.84
Group A,HSA-budgeted,8.0,49.73,0.9901,,66.28,0.3039,0.0572,15.13
Group A,HSA-budgeted,16.0,48.46,0.986,,95.86,0.3598,0.0587,11.66
Group A,HSA-budgeted,32.0,47.36,0.9821,,129.76,0.4111,0.057,7.87
Group A,HSA-budgeted,64.0,46.14,0.9774,,177.83,0.4706,0.0527,5.34
Group A,HSA-budgeted,128.0,44.68,0.9711,,254.42,0.554,0.047,3.71
Group B,SparseFool,1.0,,,,297.9,0.4065,0.0196,1.68
Group B,SparseFool,2.0,,,,297.9,0.4065,0.0196,1.68
Group B,SparseFool,4.0,,,,297.9,0.4065,0.0196,1.68
Group B,SparseFool,8.0,,,,297.9,0.4065,0.0196,1.68
Group B,SparseFool,16.0,,,,297.9,0.4065,0.0196,1.68
Group B,SparseFool,32.0,,,,297.9,0.4065,0.0196,1.68
Group B,SparseFool,64.0,,,,297.9,0.4065,0.0196,1.68
Group B,SparseFool,128.0,,,,297.9,0.4065,0.0196,1.68
Group B,SigmaZero,1.0,,,,82.38,0.4939,0.0907,11.59
Group B,SigmaZero,2.0,,,,82.38,0.4939,0.0907,11.59
Group B,SigmaZero,4.0,,,,82.38,0.4939,0.0907,11.59
Group B,SigmaZero,8.0,,,,82.38,0.4939,0.0907,11.59
Group B,SigmaZero,16.0,,,,82.38,0.4939,0.0907,11.59
Group B,SigmaZero,32.0,,,,82.38,0.4939,0.0907,11.59
Group B,SigmaZero,64.0,,,,82.38,0.4939,0.0907,11.59
Group B,SigmaZero,128.0,,,,82.38,0.4939,0.0907,11.59
Group B,Homotopy,1.0,,,,93.46,0.1688,0.0098,28.96
Group B,Homotopy,2.0,,,,93.46,0.1688,0.0098,28.96
Group B,Homotopy,4.0,,,,93.46,0.1688,0.0098,28.96
Group B,Homotopy,8.0,,,,93.46,0.1688,0.0098,28.96
Group B,Homotopy,16.0,,,,93.46,0.1688,0.0098,28.96
Group B,Homotopy,32.0,,,,93.46,0.1688,0.0098,28.96
Group B,Homotopy,64.0,,,,93.46,0.1688,0.0098,28.96
Group B,Homotopy,128.0,,,,93.46,0.1688,0.0098,28.96
Group B,GSE,1.0,,,,395.1,0.6952,0.0427,3.01
