Group,Attack Method,K,Clean Acc (%),Robust Acc (%),ASR (%),Accuracy Drop (%),Avg L0,Avg L0 Ratio,Avg L2,Avg L_inf,PSNR (dB),SSIM,LPIPS,Avg Iterations,Time/Img (s)
Group A,Sparse-PGD,8,92.2,76.7,17.35,15.5,14.25,0.0139,0.7665,0.276,43.2,0.987,,19.73,0.0024
Group A,Sparse-PGD,16,92.2,66.5,28.96,25.7,26.04,0.0254,0.9113,0.2603,41.6,0.9793,,17.95,0.0024
Group A,Sparse-PGD,32,92.2,48.3,48.59,43.9,51.37,0.0502,1.009,0.2182,40.7,0.9686,,14.69,0.0024
Group A,Sparse-PGD,64,92.2,21.3,77.66,70.9,137.8,0.1346,1.0282,0.1454,40.36,0.9552,,9.55,0.0024
Group A,Sparse-PGD,128,92.2,6.2,93.93,86.0,350.56,0.3423,0.9936,0.0693,40.06,0.9412,,4.46,0.0024
Group A,Sparse-RS,1,92.2,91.2,1.08,1.0,5.67,0.0055,0.0551,0.0134,66.02,0.9997,,22.96,0.0013
Group A,Sparse-RS,2,92.2,90.9,1.41,1.3,11.87,0.0116,0.0797,0.0144,63.41,0.9993,,22.89,0.0013
Group A,Sparse-RS,4,92.2,90.4,1.95,1.8,24.58,0.024,0.1161,0.0176,60.41,0.9985,,22.75,0.0013
Group A,Sparse-RS,8,92.2,89.1,3.47,3.1,48.42,0.0473,0.1646,0.0213,57.86,0.9971,,22.66,0.0013
Group A,Sparse-RS,16,92.2,88.6,4.12,3.6,96.29,0.094,0.2379,0.0257,55.29,0.994,,22.49,0.0013
Group A,Sparse-RS,32,92.2,85.7,7.38,6.5,173.41,0.1693,0.333,0.0317,52.24,0.9888,,22.12,0.0013
Group A,Sparse-RS,64,92.2,83.6,9.87,8.6,283.57,0.2769,0.4478,0.0373,51.26,0.9799,,21.7,0.0013
Group A,Sparse-RS,128,92.2,80.7,13.12,11.5,451.85,0.4413,0.6406,0.0476,47.65,0.9634,,21.09,0.0013
Group A,BruSLe,1,92.2,91.2,1.08,1.0,5.48,0.0054,0.0532,0.0129,67.37,0.9997,,22.92,0.0026
Group A,BruSLe,2,92.2,91.3,0.98,0.9,5.62,0.0055,0.0544,0.0132,66.61,0.9997,,22.92,0.0027
Group A,BruSLe,4,92.2,89.7,2.71,2.5,22.89,0.0224,0.1125,0.016,60.6,0.9986,,22.79,0.0026
Group A,BruSLe,8,92.2,89.8,2.6,2.4,23.77,0.0232,0.1145,0.0161,60.48,0.9986,,22.77,0.0026
Group A,BruSLe,16,92.2,88.0,4.66,4.2,90.76,0.0886,0.2331,0.023,55.39,0.9944,,22.37,0.0026
Group A,BruSLe,32,92.2,85.6,7.38,6.6,133.91,0.1308,0.2913,0.0268,53.38,0.9915,,22.17,0.0026
Group A,BruSLe,64,92.2,80.1,13.77,12.1,276.62,0.2701,0.4732,0.0379,49.97,0.9804,,21.25,0.0026
Group A,BruSLe,128,92.2,75.0,19.2,17.2,373.98,0.3652,0.6236,0.0487,49.33,0.9685,,20.55,0.0025
Group A,IPFSA,1,92.2,79.1,14.53,13.1,13.66,0.0133,0.1499,0.0469,55.01,0.9977,,20.64,0.0031
Group A,IPFSA,2,92.2,72.9,21.8,19.3,24.35,0.0238,0.1974,0.0527,52.91,0.996,,19.32,0.0024
Group A,IPFSA,4,92.2,60.0,36.01,32.2,41.82,0.0408,0.2571,0.0574,50.99,0.9932,,17.29,0.0024
Group A,IPFSA,8,92.2,36.3,61.39,55.9,65.52,0.064,0.3153,0.0607,49.54,0.9896,,13.97,0.0024
Group A,IPFSA,16,92.2,17.5,81.89,74.7,92.23,0.0901,0.3655,0.0613,48.48,0.9861,,10.2,0.0024
Group A,IPFSA,32,92.2,8.0,92.08,84.2,123.53,0.1206,0.4061,0.0559,47.55,0.9828,,6.84,0.0024
Group A,IPFSA,64,92.2,5.4,94.79,86.8,172.91,0.1689,0.4612,0.0496,46.36,0.9784,,4.7,0.0024
Group A,IPFSA,128,92.2,2.8,97.72,89.4,255.22,0.2492,0.5417,0.0442,44.86,0.972,,3.42,0.0024
Group A,GradientGuidance,1,92.2,74.5,19.31,17.7,11.72,0.0114,0.1413,0.0467,55.82,0.9982,,20.26,0.0025
Group A,GradientGuidance,2,92.2,64.2,30.8,28.0,18.72,0.0183,0.1776,0.0522,54.07,0.9971,,18.44,0.0025
Group A,GradientGuidance,4,92.2,44.6,51.95,47.6,29.62,0.0289,0.2232,0.058,52.22,0.9953,,15.28,0.0025
Group A,GradientGuidance,8,92.2,25.0,73.32,67.2,43.38,0.0424,0.2638,0.0593,50.91,0.9933,,11.32,0.0025
Group A,GradientGuidance,16,92.2,13.3,86.12,78.9,58.64,0.0573,0.2892,0.0556,50.19,0.9916,,7.17,0.0025
Group A,GradientGuidance,32,92.2,5.8,94.25,86.4,80.16,0.0783,0.3151,0.0482,49.37,0.9899,,4.33,0.0025
Group A,GradientGuidance,64,92.2,3.2,97.07,89.0,116.87,0.1141,0.3523,0.038,48.27,0.9876,,2.77,0.0025
Group A,GradientGuidance,128,92.2,1.9,98.48,90.3,180.82,0.1766,0.4144,0.0298,46.8,0.9836,,1.96,0.0016
Group A,CPA,1,92.2,79.7,13.88,12.5,13.49,0.0132,0.1482,0.0467,55.13,0.9977,,20.69,0.0024
Group A,CPA,2,92.2,74.0,20.5,18.2,24.24,0.0237,0.1974,0.0525,52.91,0.996,,19.45,0.0024
Group A,CPA,4,92.2,60.9,35.03,31.3,41.46,0.0405,0.2532,0.0571,51.08,0.9933,,17.48,0.0024
Group A,CPA,8,92.2,39.1,58.46,53.1,65.21,0.0637,0.3096,0.0594,49.65,0.99,,14.38,0.0024
Group A,CPA,16,92.2,20.0,79.07,72.2,94.55,0.0923,0.3638,0.0593,48.47,0.9859,,10.71,0.0024
Group A,CPA,32,92.2,8.6,91.32,83.6,125.5,0.1226,0.4074,0.0563,47.5,0.9826,,7.08,0.0024
Group A,CPA,64,92.2,5.4,94.79,86.8,173.74,0.1697,0.4608,0.0502,46.34,0.9783,,4.83,0.0024
Group A,CPA,128,92.2,2.9,97.51,89.3,253.5,0.2476,0.5418,0.0439,44.83,0.9719,,3.43,0.0024
Group A,FCSA,1,92.2,79.4,14.21,12.8,13.49,0.0132,0.1508,0.0474,54.97,0.9977,,20.64,0.0024
Group A,FCSA,2,92.2,72.1,22.56,20.1,23.93,0.0234,0.2024,0.0553,52.74,0.9959,,19.19,0.0024
Group A,FCSA,4,92.2,57.7,38.5,34.5,41.69,0.0407,0.2619,0.0605,50.86,0.9932,,17.07,0.0024
Group A,FCSA,8,92.2,37.6,60.3,54.6,64.18,0.0627,0.319,0.0633,49.47,0.9897,,13.92,0.0024
Group A,FCSA,16,92.2,17.6,81.78,74.6,91.32,0.0892,0.3684,0.0627,48.43,0.986,,10.22,0.0024
Group A,FCSA,32,92.2,7.9,92.19,84.3,123.02,0.1201,0.41,0.0583,47.51,0.9827,,6.92,0.0024
Group A,FCSA,64,92.2,4.6,95.66,87.6,171.59,0.1676,0.4602,0.0504,46.37,0.9788,,4.68,0.0024
Group A,FCSA,128,92.2,2.7,97.72,89.5,251.07,0.2452,0.5358,0.0437,44.93,0.9732,,3.33,0.0024
Group A,FMSA-budgeted,1,92.2,91.2,1.19,1.0,13.86,0.0135,0.1431,0.0441,55.43,0.9981,,22.81,0.0024
Group A,FMSA-budgeted,2,92.2,91.3,1.19,0.9,24.77,0.0242,0.1914,0.0497,53.09,0.9965,,22.78,0.0024
Group A,FMSA-budgeted,4,92.2,91.3,1.41,0.9,46.36,0.0453,0.27,0.0605,50.13,0.9932,,22.71,0.0024
Group A,FMSA-budgeted,8,92.2,91.2,1.52,1.0,84.99,0.083,0.3769,0.07,47.35,0.9873,,22.71,0.0024
Group A,FMSA-budgeted,16,92.2,88.3,4.77,3.9,152.92,0.1493,0.5353,0.0848,44.49,0.9759,,22.55,0.0024
Group A,FMSA-budgeted,32,92.2,74.7,20.07,17.5,252.4,0.2465,0.7274,0.0958,42.05,0.9584,,21.38,0.0024
